tag	root	morphophonemics	features	is_compound
CD	altı	~	~	FALSE
CD	altmış	~	~	FALSE
CD	beş	~	~	FALSE
CD	bilyon	~	~	FALSE
CD	bin	~	~	FALSE
CD	bir	~	~	FALSE
CD	desilyon	~	~	FALSE
CD	doksan	~	~	FALSE
CD	dokuz	~	~	FALSE
CD	dört	dört~	~	FALSE
CD	duodesilyon	~	~	FALSE
CD	duotrijintilyon	~	~	FALSE
CD	duovijintilyon	~	~	FALSE
CD	elli	~	~	FALSE
CD	hekstilyon	~	~	FALSE
CD	iki	~	~	FALSE
CD	katordesilyon	~	~	FALSE
CD	katortrijintilyon	~	~	FALSE
CD	katorvijintilyon	~	~	FALSE
CD	katrilyar	~	~	FALSE
CD	katrilyon	~	~	FALSE
CD	kendesilyon	~	~	FALSE
CD	kentilyon	~	~	FALSE
CD	kentrijintilyon	~	~	FALSE
CD	kenvijintilyon	~	~	FALSE
CD	kırk	kırK	~	FALSE
CD	milyar	~	~	FALSE
CD	milyon	~	~	FALSE
CD	nonilyon	~	~	FALSE
CD	novemdesilyon	~	~	FALSE
CD	novemvijintilyon	~	~	FALSE
CD	oktilyon	~	~	FALSE
CD	oktodesilyon	~	~	FALSE
CD	oktovijintilyon	~	~	FALSE
CD	on	~	~	FALSE
CD	otuz	~	~	FALSE
CD	sekiz	~	~	FALSE
CD	seksdesilyon	~	~	FALSE
CD	seksen	~	~	FALSE
CD	sekstilyon	~	~	FALSE
CD	sekstrijintilyon	~	~	FALSE
CD	seksvijintilyon	~	~	FALSE
CD	sentilyon	~	~	FALSE
CD	septendesilyon	~	~	FALSE
CD	septenvijintilyon	~	~	FALSE
CD	septilyon	~	~	FALSE
CD	sıfır	~	~	FALSE
CD	tredesilyon	~	~	FALSE
CD	tretrijintilyon	~	~	FALSE
CD	trevijintilyon	~	~	FALSE
CD	trijintilyon	~	~	FALSE
CD	trilyar	~	~	FALSE
CD	trilyon	~	~	FALSE
CD	üç	üÇ	~	FALSE
CD	undesilyon	~	~	FALSE
CD	untrijintilyon	~	~	FALSE
CD	unvijintilyon	~	~	FALSE
CD	vijintilyon	~	~	FALSE
CD	yedi	~	~	FALSE
CD	yetmiş	~	~	FALSE
CD	yirmi	~	~	FALSE
CD	yüz	~	~	FALSE
